#float wmo; comparison CTD reference; OW results; OW results (ligne suivante); correction appliquee; resume; explications
6900897; na; 0.002 $\pm$ 0.003; ; No corretion ; No corretion ; 
6900899; na; -0.003 $\pm$ 0.008; ;No corretion; No corretion ; 
6900995; na; 0 $\pm$ 0.008; ; No corretion; No corretion ; 
6900974; na; 0.005 $\pm$ 0.01; ; No corretion; No corretion ; 
6900973; na; 0.001 $\pm$ 0.005; ; No corretion; No corretion ; 
6900972; na;  -0.001 $\pm$ 0.005; ; No corretion; No correction;  
6900966; na; 0 $\pm$ 0.005 ; ; No corretion; No correction; 
#Guillaume floats;;;;;;
6902766;na;  linear drift ($\approx$ -0.0025/yr); ; No corretion; No correction; Salinities of this float seem very stable throughout all the cycles analysed. The correction proposed by the OWC run is a small linear trend that lies within the 0.01 instrument accuracy treshold. Not enough reference CTD data is available to obtain  reliable results using only CTD reference database. No correction is necessary for this float.
# 6902746;na; -0.001$\pm$ 0.002; ; No corretion; No correction; This float enters the Caribbean Sea at Cycle 74. The use of a mask was necessary to select the reference data belonging to the same geographical region as the float profile. In the Caribbean Sea, there are no reference data for $\theta$ below 5$^{\circ}$. Therefore, levels above 5$^{\circ}$ have been chosen for the calibration. The correction proposed by the OWC run is a small offset that lies within the 0.01 instrument accuracy treshold. Not enough reference CTD data is available to obtain  reliable results using only CTD reference database. No correction is necessary for this float.
6902746;na;salty  drift detected  from cycle 85 onwards; ;No correction up to cycle 84, flag 4 after;No correction up to cycle 84, flag 4 after; This float enters the Caribbean Sea at Cycle 74. The use of a mask was necessary to select the reference data belonging to the same geographical region as the float profile. In the Caribbean Sea, there are no reference data for $\theta$ below 4.5$^{\circ}$. Therefore, levels above 4.5$^{\circ}$ have been chosen for the calibration. OWC detects salty drift,  from cycle 85 onwards, but the onset of this drift is difficult to estimate as it would coincide with the time when the float enters the Caribbean Sea and little reference data is available on the deepest theta levels. A comparison with data from a very close float suggests an offset of +0.005 (Figure 4) at Cycle 77. We therefore decided not to correct the float until cycle 85 but to flag the salinity at 2 between cycle 60 and 85 (error larger tha 0.015). The salinity data after cycle 85 is flagged at 4 and the float is put on the grey list.
# 6902757;na; linear drift ($\approx$ -0.01/yr) after cycle 40 ; ;No corretion; No correction;  The correction proposed by the OWC run show a salty drift starting cycle 40. This is related to a decrease in reference salinities along the float path (maybe due to a lack of recent reference data?), which is not seen in float measurements. Indeed, the salinities measured by the float are very stable throughout all the cycles analysed. As of now, there is no evidence of a salty drift,  so we do not correct this float.
6902757;na; linear drift ($\approx$ -0.01/yr) after cycle 43 ; and $\approx$-0.1/yr after cycle 94;OWC corrrection cycles 43-94, flag 4 after;OWC corrrection cycles 43-94, flag 4 after;  The correction proposed by the OWC run show a salty drift starting cycle 43 that intensifies after cycle 95.   We decided to correct this float between cycle 43-94 using OWC correction. Salinity data is flag 4 from cycle 95 onwards, and the float is put on the grey list.
6902771;na;0.0025$\pm$ 0.0035; ; No corretion; No correction; Salinities of this float seem very stable throughout all the cycles analysed. The correction proposed by the OWC run is a small offset that lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
6902772;na;linear drift ($\approx$ -0.04/yr) after cycle 50; ; No corretion; No corretion;The correction proposed by the OWC run show a salty drift starting cycle 50. This is related to a decrease in reference salinities along the float path, which is not seen in float measurements (float trapped in an  eddy? see the loop path). The salinities measured by the float are very stable throughout all the cycles analysed.  As of now, there is no evidence of a salty drift, so we do not correct this float.
# MOCCA floats;;;;;;
3901971;na;linear drift ($\approx$ 0.015/yr); ; No correction; No correction; We have chosen to calibrate using theta less than 4.5$^{\circ}$ because of large variability in reference data around 5$^{\circ}$.The small fresh drift found by OWC is not seen in the upper levels. As of now, there is no evidence of a fresh drift,  so we do not correct this float.
3901970;na;0.006 $\pm$ 0.014; ; No correction; No correction;  We have chosen to calibrate using theta larger than 12$^{\circ}$ because of large variability in the Mediterranean water layer and below. The correction proposed by the OWC run is a small offset that lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
3901980;na;0.006 $\pm$ 0.025 and small drift; (1 break point) after cycle 25; No correction; No correction; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). The first 25 profiles do not go deeper than 1000m (cycle time less than 1 day). The correction proposed by the OWC run lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
3901982;na;0.002 $\pm$ 0.022 and ;0  $\pm$ 0.003 after cycle 25; No correction; No correction; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). The first 25 profiles do not go deeper than 1000m (cycle time less than 1 day). The correction proposed by the OWC run lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
