DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;3901871;2016-08-29;IRIDIUM;ARVOR;SBE41CP_V7.2.5;8124;Romain Cancouet;MOCCA-EU;A;157;070;2018-09-17;_;_;-
coriolis;3901901;2016-12-16;IRIDIUM;ARVOR;SBE41CP_V7.2.5;8270;Sabrina Speich;MOCCA-EU;A;146;132;2020-07-23;_;_;-
coriolis;3901902;2016-12-16;IRIDIUM;ARVOR;SBE41CP_V7.2.5;8271;Sabrina Speich;MOCCA-EU;NA;_;023;2018-09-17;_;_;-
coriolis;3901903;2016-12-16;IRIDIUM;ARVOR;SBE41CP_V7.2.5;8272;Sabrina Speich;MOCCA-EU;A;146;059;2018-10-05;_;_;-
coriolis;3901918;2016-12-01;ARGOS;ARVOR;SBE41CP;8302;Sabrina Speich;MOCCA;A;148;060;2018-09-17;_;_;-
coriolis;3901919;2016-12-01;ARGOS;ARVOR;SBE41CP_V7.2.5;8303;Sabrina Speich;MOCCA-EU;A;148;137;2020-11-02;_;_;-
coriolis;3901920;2016-12-02;ARGOS;ARVOR;SBE41CP;8304;Sabrina Speich;MOCCA-EU;A;148;060;2018-10-19;_;_;-
coriolis;3901921;2018-05-19;ARGOS;ARVOR;SBE41CP;8305;Josep Lluis Pelegri;MOCCA-EU;A;094;084;2020-10-27;_;_;-
coriolis;3901922;2017-10-07;ARGOS;ARVOR;SBE41CP_V7.2.5;8306;Romain Cancouet;MOCCA-EU;A;117;100;2020-07-21;_;_;-
coriolis;3901923;2016-12-03;ARGOS;ARVOR;SBE41CP;8307;Sabrina Speich;MOCCA-EU;A;148;060;2018-10-19;_;_;-
coriolis;3901924;2016-12-04;ARGOS;ARVOR;SBE41CP;8375;Sabrina Speich;MOCCA-EU;A;148;060;2018-10-19;_;_;-
coriolis;3901925;2016-12-04;ARGOS;ARVOR;SBE41CP_V7.2.5;8471;Sabrina Speich;MOCCA-EU;NA;109;060;2018-10-19;_;_;-
coriolis;3901926;2017-10-31;ARGOS;ARVOR;SBE41CP;8472;Andreas Sterl;MOCCA-EU;A;114;044;2019-01-10;_;_;-
coriolis;3901927;2016-12-05;ARGOS;ARVOR;SBE41CP_V7.2.5;8493;Sabrina Speich;MOCCA-EU;NA;064;060;2018-10-19;_;_;-
coriolis;3901928;2016-12-06;ARGOS;ARVOR;SBE41CP;8494;Sabrina Speich;MOCCA-EU;A;147;060;2018-10-19;_;_;-
coriolis;3901929;2017-01-22;ARGOS;ARVOR;SBE41CP;8495;Sabrina Speich;MOCCA-EU;A;143;055;2018-09-17;_;_;-
coriolis;3901930;2017-01-24;ARGOS;ARVOR;SBE41CP_V7.2.5;8496;Sabrina Speich;MOCCA-EU;A;142;055;2018-09-17;_;_;-
coriolis;3901931;2017-01-19;ARGOS;ARVOR;SBE41CP;8497;Sabrina Speich;MOCCA;A;143;055;2018-09-17;_;_;-
coriolis;3901932;2018-06-08;ARGOS;ARVOR;SBE41CP;8499;Josep Lluis Pelegri;MOCCA-EU;A;092;082;2020-10-27;_;_;-
coriolis;3901933;2017-10-31;ARGOS;ARVOR;SBE41CP;8500;Andreas Sterl;MOCCA-EU;A;114;044;2019-01-10;_;_;-
