DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;1900063;2002-03-03;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;097;2010-05-31;_;_;-
coriolis;1900064;2002-03-06;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;018;2013-10-07;_;_;-
coriolis;1900065;2002-03-06;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;058;2014-02-25;_;_;-
coriolis;1900066;2002-03-08;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;066;2013-10-07;_;_;-
coriolis;1900067;2002-03-09;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;098;2005-12-15;_;_;-
coriolis;1900068;2002-03-21;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;077;2010-06-02;_;_;-
coriolis;1900070;2002-03-22;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;057;2006-02-15;_;_;-
coriolis;1900071;2002-03-22;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;060;2010-06-01;_;_;-
coriolis;1900072;2002-03-05;ARGOS;APEX;SBE41;n/a;Virginie THIERRY;GYROSCOPE;NA;_;200;2010-07-19;_;_;-
coriolis;1900073;2002-03-10;ARGOS;APEX;SBE41;n/a;Virginie THIERRY;GYROSCOPE;NA;_;154;2010-07-19;_;_;-
coriolis;1900074;2002-03-20;ARGOS;APEX;SBE41;n/a;Virginie THIERRY;Euro-Argo;NA;_;167;2010-07-16;_;_;-
coriolis;1900075;2002-03-21;ARGOS;APEX;SBE41;n/a;Virginie THIERRY;GYROSCOPE;NA;_;152;2016-09-15;_;_;-
coriolis;1900076;2002-09-11;ARGOS;PROVOR;FSI;n/a;Virginie THIERRY;GYROSCOPE;NA;_;065;2014-02-20;_;_;-
coriolis;1900077;2002-09-12;ARGOS;APEX;SBE41;n/a;Virginie THIERRY;Euro-Argo;NA;_;132;2010-07-16;_;_;-
